,temperature,pressure,vibration,fault,hour,dayofweek,month,temperature_lag1,pressure_lag1,vibration_lag1,temperature_rollmean3,pressure_rollmean3,vibration_rollmean3
temperature,1.0,0.49296464405119017,0.18559629032967512,,0.0730450016858559,0.2162116210279248,,0.5971290419020588,0.40360999418900984,0.16715546517057842,0.8394970877330908,0.610625532329001,0.25367851608752345
pressure,0.49296464405119017,1.0,0.12473922019065255,,-0.11164604534959159,0.16617305523022485,,0.2859628602409925,0.22886558683076852,0.09887051336058691,0.41192036327786014,0.6646693978910847,0.11310443228540898
vibration,0.18559629032967512,0.12473922019065255,1.0,,-0.047551102870192936,-0.03339651900157246,,0.15246069632149598,0.1341600851438127,0.06683099509444665,0.14990635599055796,0.128105566874308,0.609746166333417
fault,,,,,,,,,,,,,
hour,0.0730450016858559,-0.11164604534959159,-0.047551102870192936,,1.0,0.034088873707507066,,0.09790315287046204,-0.09624399988060156,-0.01615646680240452,0.09866997357084252,-0.12623287082543697,-0.012398588563530325
dayofweek,0.2162116210279248,0.16617305523022485,-0.03339651900157246,,0.034088873707507066,1.0,,0.2053375994650402,0.1677728884104173,-0.01933008319111972,0.2433098095772849,0.2437157192703283,-0.03182505427231427
month,,,,,,,,,,,,,
temperature_lag1,0.5971290419020588,0.2859628602409925,0.15246069632149598,,0.09790315287046204,0.2053375994650402,,1.0,0.49472411587384935,0.18252590777490005,0.8629692801425977,0.5774184321478604,0.27730357171629244
pressure_lag1,0.40360999418900984,0.22886558683076852,0.1341600851438127,,-0.09624399988060156,0.1677728884104173,,0.49472411587384935,1.0,0.12665894095575334,0.466448045295613,0.7143450013714933,0.195532333984986
vibration_lag1,0.16715546517057842,0.09887051336058691,0.06683099509444665,,-0.01615646680240452,-0.01933008319111972,,0.18252590777490005,0.12665894095575334,1.0,0.19679077907071882,0.17237359162428814,0.6200099455948285
temperature_rollmean3,0.8394970877330908,0.41192036327786014,0.14990635599055796,,0.09866997357084252,0.2433098095772849,,0.8629692801425977,0.466448045295613,0.19679077907071882,1.0,0.6683813453474491,0.2915902523023034
pressure_rollmean3,0.610625532329001,0.6646693978910847,0.128105566874308,,-0.12623287082543697,0.2437157192703283,,0.5774184321478604,0.7143450013714933,0.17237359162428814,0.6683813453474491,1.0,0.22011250381056885
vibration_rollmean3,0.25367851608752345,0.11310443228540898,0.609746166333417,,-0.012398588563530325,-0.03182505427231427,,0.27730357171629244,0.195532333984986,0.6200099455948285,0.2915902523023034,0.22011250381056885,1.0
